,Model,Series,Display Size (Inch),Shape,Display Type,Display Resolution,Response Time (ms),Refresh Rate (Hz),Viewing Angle,VGA Port,Brightness (cd/m2),Contrast Ratio (TCR/DCR),Others,Color,Part No,Warranty,Made in/ Assemble,Country Of Origin,Display Port,Specialty,Dimensions,HDMI Port,Aspect Ratio,DVI Port,Speaker (Built-in),USB Port,FreeSync,Touch Screen,Remote,Thunderbolt,Regular Price,Special Price
32,ViewSonic VX2276-SHD,Regular,21.5,Widescreen,FHD AH-IPS LED,1920x1080 (WxH) FHD,4ms,15Hz (H) - 75Hz (V),178 degree (H & V),1,250cd/m2,1000:1 (Typical),"Panel type: IPS TFT panel, Pitch: 0.24795mm, Color gamut: 72%, surface coating: Anti-glare multilayer film, 1 x Audio out, power supply Voltage: AC 100-240V / 50-60Hz , Power: 18W (typ) 14W (ECO), Ergonomics Tilt: -5-17 degrees, weight: 2.44Kg (With Base), 2.0Kg (Without Base)",Black,,3 year,China,USA,1,AH-IPS wide viewing angle 6.6mm slim micro border love eye not flash screen computer monitor,"497.9 x 392.8 x 209mm (With Base), 497.9 x 301.6 x 33.4mm (Without Base)",1,,,,,,,,,11280,10500
33,AOC I2281FWH,Regular,21.5,Widescreen,FHD WLED IPS Ultra Slim Display,1920x1080 (WxH) FHD,4ms,60Hz,178 degree (H & V),1,250cd/m2,"1000:1 (static), 50M:1 (dynamic)","Panel: IPS, Backlight: WLED, Active Screen Area: 477.5x268.5 mm, Pixel Pitch (H) (V): 0.248, Display Colours: 16.7 Million, Scanning Frequency: 30-83khz/50-76hz, Audio output: Headphone out (3.5mm), Powersupply: External, Powersource: 100 - 240V 50/60Hz, Power Consumption On: 22 watt, MTBF: 50.000 hours, weight: 2.65Kg",White,,3 year,,,,"Amazing picture quality, stunning design and a minimal footprint, This displays ultra-slim profile and eye-catching base are sure to get people talking, The on-screen performance is just as impressive, the AH-IPS panel provides virtually borderless viewing and uniform colors from nearly any angle, With a built-in headphone jack and HDMI and VGA connectors, this monitor is also ideal for using multiple devices like computers and game consoles, Flicker-free technology optimizes the brightness to reduce eye strain, Asymmetric Stand",500 x 382 x 150mm,1,16:9,,,,,,,,11180,10500
34,Asus VZ229HE,Regular,21.5,Widescreen,FHD IPS Borderless Slim Display,1920x1080 (WxH) FHD,5ms (Gray to Gray),48 - 76Hz,178 degree (H & V),1,250cd/m2,"1000:1 (Max), 80000000:1 (ASCR)","Color Saturation: 72%(NTSC), Panel Type: In-Plane Switching, Display Surface: Non-glare, Pixel Pitch: 0.248mm, Display Colors: 16.7M, SPLENDID Video Preset Modes: 8 Modes, Skin-Tone Selection: 3 Modes, Color Temperature Selection: 4 Modes, QuickFit (modes) : Yes (Alignment Grid/Photo Modes), GamePlus(modes) : Yes (Crosshair/Timer), Low Blue Light : Yes, HDCP support : Yes, VividPixel : Yes, USP: 7mm thin, Contrast Ratio 1000:1, 8 Bit Panel, suitable for multi-display use, Key Feature: Full HD, IPS, 5ms, 16.7M, HDMI, D-Sub, Frameless",Black,VZ229HE,3 year,China,Taiwan,,"Eye Care Monitor, Full HD, IPS, Ultra-slim, Frameless, Flicker Free, Blue Light Filter, sRGB Mode, Scenery Mode, Theater Mode, Standard Mode, Night View Mode, Game Mode, Reading Mode, Darkroom Mode",498 x 380 x 210mm (with Stand),1,16:9,,,,,,,,11660,10700
35,HP 22f,Regular,21.5,Widescreen,FHD IPS Antiglare,1920x1080 (WxH) FHD,5ms (Gray to Gray),75Hz-86KHz,178 degree (H & V),1,300cd/m2,"1000:1 (Static), 10M:1 (Dynamic)","Black Backside, Surface treatment: Anti-glare panel, Aspect ratio: 16:9, Color gamut: 72%, Color support: Up to 16.7M colors with the use of FRC technology, Pixel pitch: 102 PPI, HDCP Support, Detachable stand: Yes, ships detached, Weight: 2.33Kg",Black,2XN58AA,3 year,China,USA,,"Appealing, ultra-thin design, Stunning from edge-to-edge, Full HD display / 1080p display, Micro-edge display, Step up to the best, Virtually edge-to-edge panel, Impossibly thin, AMD FreeSync technology, Low Blue Light",,1,,,,,,,,,12260,11300
36,HP 22fw,Regular,21.5,Widescreen,FHD IPS Antiglare,1920x1080 (WxH) FHD,5ms (Gray to Gray),75Hz-86KHz,178 degree (H & V),1,300cd/m2,1000:1 (Static) 10000000:1 (Dynamic),"White Backside, Color gamut: 72% NTSC, Color support: Up to 16.7 million colors with the use of FRC technology, Pixel pitch: 102 PPI, Aspect ratio: 16:9, Weight: 2.33Kg",White,3KS60AA,3 year,China,USA,,,,1,,,,,,,,,12260,11300
37,Dell P1917S,Regular,19,Rotatable Square,LED Backlight IPS,1280x1024 (WxH) SXGA,"8ms (Gray to Gray-Normal), 6ms (Gray to Gray-Fast)",60Hz,178 degree (H & V),1,250cd/m2,"1000: 1 (typical), 4 Million:1 (Dynamic)","Aspect Ratio: 5:4, Weight: 2.60Kg, Accessories : Monitor with stand, Power cable, 1 x DP Cable, 1 x VGA Cable, 1 x USB 3.0 upstream cable (enables the USB port on the monitor), Drivers and documentation media, Quick setup guide, Safety Information",Black,P1917S,3 year,China,USA,1,,405.6 x 334.3 x 50.3mm (without stand),1,,,,"3 x USB3.0, 2 x USB2.0",,,,,12260,11500
38,Dell E2316H,Regular,23,Widescreen,LED,1920x1080 (WxH) FHD,5ms,,,1,250cd/m2,1000:1,,Black,,3 year,,,,,,,,,,,,,,,13680,11500
39,Asus VS248HR,Gaming,24,Widescreen,FHD LED,1920x1080 (WxH) FHD,1ms (Gray to Gray),"30 -83 kHz (H), 56 -76 Hz (V)","170 degree (H), 160 degree (V)",1,250cd/m2,"1000:1 (Max), 50000000:1 (ASCR)","Panel Backlight / Type: TN, Display Viewing Area(HxV): 531.36 x 298.89 mm, Pixel Pitch: 0.2768 mm, Display Colors: 16.7M, Trace Free Technology: Yes, SPLENDID Video Preset Modes: 6 Modes, Skin-Tone Selection: 3 Modes, Color Temperature Selection: 4 Modes, HDCP support: Yes, Smart View Technology: Yes, AV Audio Input: HDMI, Earphone jack: 3.5mm Mini-Jack, Security: Kensington lock, Weight: 4.1Kg, USP: Best budget gaming 24 inch Monitor with 1ms (GTG), HDMI, D-Sub, DVI-D, Key Feature: TN, FHD, 16.7M, AV Audio Input : HDMI, VESA Wall Mounting",Black,,3 year,China,Taiwan,,"Trace Free Technology, SPLENDID Video Intelligence Technology, 6 Modes SPLENDID Video Preset, 3 Modes Skin-Tone Selection, 4 Modes Color Temperature Selection, HDCP support, Smart View Technology, Gaming Monitor, Superior image quality meets classic elegant design, True-to-life Pictures Powered by LED, 50,000,000:1 ASUS Smart Contrast Ratio, Full HD 1080p Support, 1ms Response Time, Aspect Control function, Versatile viewing positions with Smart View Technology, Splendid Video Intelligence Technology, Stylish and User-friendly Design for Modern Sophistication","573.2 x 412.3 x 205.5mm (with Stand), 573.2 x 346.3 x 45.7mm (without Stand)",1,16:9,1,,,,,,,14110,13400
40,HP Elite Display E223,Regular,21.5,Widescreen,FHD IPS Micro Edge LED,1920x1080 (WxH) FHD,5ms,60Hz,178 degree (H & V),1,250cd/m2,"1000:1 (Static), 5000000:1 (Dynamic)",Aspect ratio: 16:9,Black,1FH45A8 / 1FH45AA,3 year,China,USA,1,"FHD IPS Micro Edge LED Backlit Border-less Monitor, Anti-glare, In plane switching, Language selection, LED Backlights, On-screen controls, Pivot rotation, Plug and Play, User programmable, Anti-static",,1,16:9,,,3 x USB3.0,,,,,15080,14200
41,ASUS VA249HE,Regular,23.8,Widescreen,FHD LED,1920x1080 (WxH) FHD,5ms (Gray to Gray),49-76Hz (Vertical),178 degree (H & V),1,250cd/m2,"3000:1 (Max), 100000000:1 (ASCR)","Panel Type: VA, Display Viewing Area(HxV): 527.04 x 296.46 mm, Display Surface: Non-glare, Display Colors: 16.7M, Trace Free Technology: Yes, SPLENDID Video Preset Modes: 8 Modes, Skin-Tone Selection: 3 Modes, Color Temperature Selection: 4 Modes, GamePlus(modes): Yes (Crosshair/Timer), Low Blue Light: Yes, VividPixel: Yes, Voltage: 100-240V, 50 / 60Hz, Security: Kensington lock, Weight: 3.7Kg",Black,,3 year,,,,"Eye Care Monitor, Full HD, Flicker Free, Blue Light Filter, Anti Glare, HDMI, 3,000:1 Ultra-High Contrast Ratio, ASUS-exclusive SplendidPlus Technologies, Protect eyes with ASUS Eye Care technology, Ultra-low Blue Light Monitor, 8 Modes SPLENDID Video Preset Modes, 3 Modes Skin-Tone Selection, 4 Modes Color Temperature Selection, Trace Free Technology","552.4 x 396.9 x 205mm (with Stand), 552.4 x 334.2 x 53.9mm (without Stand)",1,16:9,,,,,,,,15950,15000
42,HP P241v,Regular,23.8,Widescreen,FHD LED,1920x1080 (WxH) FHD,5ms (Gray to Gray),60Hz,178 degree (H & V),1,250cd/m2,1000:1 (Static) 10000000:1 (Dynamic),"Power Input voltage: 100 to 240 VAC, Power consumption: 25 W (maximum), 22 W (typical), 0.5 W (standby), Weight: 3.7Kg (With stand)",Black,,3 year,China,USA,,"Anti-glare, Language selection, LED Backlights, On-screen controls, Plug and Play, User programmable, Striking display at an affordable price, Experience remarkable detail on the large-screened, The vibrant views, convenient connectivity, adaptability, and affordable price point are ideal for everyday business, Stunning views, Create workspace comfort, Convenient connectivity",546.6 x 44.7 x 321mm (Without Stand),1,16:9,1,,,,,,,16170,15000
43,HP 24f,Regular,24,Widescreen,FHD IPS Antiglare,1920x1080 (WxH) FHD,5ms (Gray to Gray),60Hz,178 degree (H & V),1,300cd/m2,1000:1 (Static) 10000000:1 (Dynamic),"Aspect Ratio: 16:9, Color gamut: 72%, Color support: Up to 16.7 million colors with the use of FRC technology, Pixel pitch: 0.2745 x 0.2745mm, 93 PPI, HDCP supported on HDMI, Scan range: (Horizontal) 30-86kHz, (Vertical) 48-75Hz, Power consumption: 22 Watts max., Dimensions (W x D x H): 54.1 x 18.0 x 40.9cm, Weight: 2.8Kg",Black,2XN60AA / 3AL28AA,3 year,China,USA,,,,1,,,,,,,,,17040,15800
44,Viewsonic VX2257-MHD,Gaming,21.5,Widescreen,FHD TN LED,1920x1080 (WxH) FHD,2ms (Gray to Gray),47-75Hz,"170 degree (H), 160 degree (V)",1,250cd/m2,"1000:1 (Static), 80M:1 (Dynamic)","Light Source: LED, Backlight Life (Hours): 40,000, Colors: 16.7M, Panel Surface: 3H Anti-glare, hard-coating, 1 x 3.5mm Audio In, 1 x 3.5mm Audio Out, Power In: 3-pin plug (CEE22), Kensington Lock Slot, VESA Compatible Wall Mount (100 x 100mm)",Black,,3 year,China,USA,1,"Dual Integrated Speakers, Enhanced Viewing Comfort, Game Mode Hotkey and User-customized Settings, Black Stabilization for Ultimate Visibility, Low Input Lag, AMD FreeSync Technology, Ultra-Fast Response Time",,1,,,,,,,,,17250,16000
45,Dell SE2419HR,Regular,24,Widescreen,FHD LED,1920x1080 (WxH) FHD,"8ms (Gray to Gray) (Normal), 5ms (Gray to Gray), 4ms (Gray to Gray) (Extreme)",75Hz,178 degree (H & V),1,250cd/m2,,"Panel Type: In-Plane Switching (IPS), Anti-glare with 3H hardness, Pixel Pitch: 0.2745 mm x 0.2745 mm, Color Support: 16.7 million, Adaptive-Sync Technology: AMD FreeSync, Backlight Technology: LED backlight, Features: 72% NTSC (CIE 1931) color gamut, narrow-bezel design, Power Voltage: AC 120/230 V (50/60 Hz), Power Consumption Stand by: 0.5 Watt, Weight: 3.90Kg",Piano Black,SE2419HR,3 year,,,,"Brilliant from every angle, Design that shines, Elegant touches, The thin bezels offer a sleek, modern look that complements any space, Compact and solid, The stand is now 30% smaller, freeing up desk space without compromising sturdiness, A built-in power supply unit further reduces clutter, Easily tilt the monitor to get just the right viewing angle, Easy on the eyes, Increase viewing comfort by minimizing blue light with Dells Comfort View, and reduce distractions with a flicker-free, anti-glare screen, Smooth and lively visuals, For tear-free visuals during gameplay, this AMD Radeon FreeSync compatible monitor features up to 75 Hz refresh",538.48 x 152.4 x 414.02mm (with stand),1,16:9,,,,Yes,,,,17040,16000
46,Lenovo Think Vision E24-10,Regular,23.8,Widescreen,WLED FHD IPS Anti-Glare,1920x1080 (WxH) FHD,4ms,,178 degree (H & V),1,250cd/m2,1000:1,"Aspect Ratio: 16:9, Stand: Tilt, Max Colors Built in Screen: 16.7 Million, Weight: 3.5Kg",Black,,3 year,,,1,"TUV low blue-light certification, Direct access button for automatic image setup and brightness, Kensington Lock slot for security, Meets 100 mm VESA standard(1) for mounting",,,,,,,,,,,17250,16200
47,LG 24MK600M,Regular,24,Widescreen,IPS FHD LED,1920x1080 (WxH) FHD,5ms (Gray to Gray),56-75Hz (V),178 degree (H & V),1,250cd/m2,"1000:1 (Static), Mega (Dynamic)","Panel Type: IPS, Color Gamut (CIE1931): NTSC 72%, Color Depth (Number of Colors): 16.7M colors, Surface Treatment: Anti glare, 3H, Picture Mode: Custom, Reader, Color Weakness, Photo, Cinema, Game, Ratio: Wide/Original, HDCP: HDCP1.4, Headphone Out: 1, Power Input: 100-240Vac, 50/60Hz, Weight: 3.1Kg (with Stand), 2.75Kg (without Stand),",Black,,3 year,,,,"OnScreen Control Software, Color Calibrated, Super + resolution, Reader Mode, Automatic Standby, Smart Energy Saving, Flicker Safe, Crosshair, Black Stabilizer, DAS Mode, Response Time Control, Key Lock, HDCP1.4, DDC/CI, Wide/Original Ratio, 3-Side Virtually Borderless Design, Radeon FreeSync, Wall Mountable, High Definition with True Color, Immersive Visual Experience, Clearer, Smoother Image, React Faster to The Action, Enemies Have Nowhere to Hide, Perfect Eyes with Reader Mode","539.1 x 182 x 415.3mm (with Stand), 539.1 x 66.5 x 321.5mm (without Stand)",2,16:9,,,,,,,,17470,16200
48,Asus VA24EHE,Regular,23.8,Widescreen,IPS FHD LED,1920x1080 (WxH) FHD,5ms (Gray to Gray),75Hz,178 degree (H & V),1,250cd/m2,"1000:1 (Max), 10,00,00,000:1 (ASCR)","Panel Type: IPS, Display Viewing Area(HxV): 527.04 x 296.46mm, Display Surface: Non-glare, Pixel Pitch: 0.2745mm, Display Colors: 16.7M (real 8 bit), Trace Free Technology: Yes, SPLENDID Video Preset Modes: 8 Modes, Skin-Tone Selection: 3 Modes, Color Temperature Selection: 4 Modes, QuickFit (modes): Yes, GamePlus(modes): Yes, Low Blue Light: Yes, HDCP support: Yes, VividPixel: Yes, Adaptive-Sync supported: Yes, Frameless Design: Yes, VESA Wall Mounting: 100x100mm, Security: Kensington lock, USP: Best Budget 24 inch Monitor on IPS Panel, 75Hz, Adaptive-Sync/FreeSync, Key Feature: FHD, IPS, Frameless, HDMI, D-Sub, DVI-D, VESA Wall Mounting",Black,VA24EHE,3 year,China,Taiwan,,"Eye Care Monitor, Full HD, IPS, Frameless, 75Hz, Adaptive-Sync, Low Blue Light, Flicker Free, Wall Mountable, Adaptive-Sync technology to eliminate tracing and ensure crisp and clear video playback, VESA wall-mountable to save on desktop space, Superior Image Quality Meets Classic Elegant Design, Viewing Perfection, Frameless Design, Super smooth visuals with Adaptive-Sync, ASUS-exclusive GamePlus Technology, ASUS-exclusive SplendidPlus Technologies, ASUS Blue Light Filter, Trace Free Technology, 8 Modes SPLENDID Video Preset ((sRGB Mode/Scenery Mode/Theater Mode/Standard Mode/Night View Mode/Game Mode/Reading Mode/Darkroom Mode), 3 Modes Skin-Tone Selection, 4 Modes Color Temperature Selection","540.45 x 403.67 x 203.94mm (with Stand), 540.4 x 324.8 x 44.4mm (without Stand)",1,16:9,1,,,,,,,17140,16300
49,Asus BE229QLB,Regular,21.5,Widescreen,IPS FHD,1920x1080 (WxH) FHD,5ms (Gray to Gray),49 - 76Hz,178 degree (H & V),1,250cd/m2,1000:1,"HDCP support: Yes, VividPixel: Yes, Low Blue Light: Yes, USP: Extensive Connectivity, Bundled with the MiniPC kit, Key Feature: FHD, IPS, 5ms, D-Sub, DisplayPort, DVI-D, Mini-PC Mount Kit, Ergonomic Stand, Height Adjustment, VESA Wall Mounting",Black,BE229QLB,3 year,China,Taiwan,1,"Business Monitor, Kensington lock","514 x 347 x 211mm (with Stand), 514 x 312 x 50mm (without Stand)",,,1,2W x 2 Stereo RMS,2 x USB2.0,,,,,17360,16500
50,HP EliteDisplay E233,Regular,23,Widescreen,FHD IPS Micro Edge LED,1920x1080 (WxH) FHD,5ms,60Hz,178 degree (H & V),1,250cd/m2,"1000:1 (Static), 5000000:1 (Dynamic)","Aspect ratio: 16:9, Security lock-ready",Black,1FH46AA,3 year,China,USA,,LED Backlit Border-less Monitor,,1,,,,3 x USB3.0,,,,,18260,16700
51,HP Z22n G2,Regular,21.5,Widescreen,IPS,1920x1080 (WxH) FHD,5ms (Gray to Gray),50-60Hz,178 degree (H & V),1,250cd/m2,1000:1 (Static) 10000000:1 (Dynamic),"Aspect Ratio: 16:9, Pixel Pitch: 0.24795 x 0.24795mm, Backlight Lamp Life (to half brightness): 30,000 hours minimum, Color Gamut: Up to 16.7 million colors with the use of FRC technology, Color Gamut (Typical): 95% sRGB, Anti-Glare: Yes",Black,1JS05A4#AB4,3 year,China,USA,,"Enable virtually seamless views with a display that is almost borderless on three sides and includes IPS technology, Work comfortably with customizable tilt, height adjustment, swivel, and pivot settings, Reduce power consumption and help lower your costs with an energy-efficient design",,1,,,,,,,,,18120,16800
52,Asus VZ249HE,Regular,23.8,Widescreen,Frameless FHD IPS LED,1920x1080 (WxH) FHD,5ms (Gray to Gray),54-83KHz(H) / 48-75Hz(V),178 degree (H & V),1,250cd/m2,"1000:1 (Typical), 80000000:1 (ASCR)","Color Saturation : 72%(NTSC), Panel Type : In-Plane Switching, Display Viewing Area(HxV) : 527.04 x 296.46 mm, Display Surface Non-glare, Pixel Pitch : 0.2745 mm, Display Colors : 16.7M, Flicker free, SPLENDID Video Preset Modes : 8 Modes (sRGB Mode/Scenery Mode/Theater Mode/Standard Mode/Night View Mode/Game Mode/Reading Mode/Darkroom Mode), Skin-Tone Selection : 3 Modes, Color Temperature Selection : 4 Modes, QuickFit (modes) : Yes (Letter/B5/Alignment Grid/Photo Modes), GamePlus(modes) : Yes (Crosshair/Timer), Low Blue Light : Yes, HDCP support : Yes, VividPixel : Yes, Slim Design : Yes, Frameless Design : Yes, USP: Frameless design suitable for multi-display use, Key Feature: Full HD, IPS, Ultra-slim, Frameless, Flicker Free, Blue Light Filter",Black,,3 year,China,Taiwan,,"23.8 Inch Full HD, IPS, Ultra-slim, Frameless, Flicker Free, Blue Light Filter, Eye Care Monitor, Stylish ultra-slim profile is only 7mm thin, Frameless design suitable for multi-display use, IPS technology with stunningly wide 178degree viewing angles, ASUS Eye Care monitors feature T??V Rheinland-certified Flicker-free and Low Blue Light technologies to ensure a comfortable viewing experience, Exquisite ultra-slim, frameless design",,1,16:9,,,,,,,,18990,17700
53,Asus VG245HE,Gaming,24,Widescreen,FHD LED,1920x1080 (WxH) FHD,1ms (Gray to Gray),75Hz,"170 degree (H), 160 degree (V)",1,250cd/m2,100000000:1 (ASCR),"Color Saturation: 72%(NTSC), Panel Type: TN, Display Viewing Area (HxV): 531.36 x 298.89 mm, Display Surface: Non-glare, Pixel Pitch: 0.2768 mm, Display Colors: 16.7M, Trace Free Technology: Yes, GamePlus (modes): Yes, Low Blue Light: Yes, HDCP support: Yes, VividPixel: Yes, GameVisual: 6 Modes, Earphone jack: 3.5mm Mini-Jack, Security: Kensington lock, Weight: 4.7Kg, USP: 1ms, 75Hz, Dual HDMI flexible connectivity, AMD FreeSync, Key Feature: TN, FHD, GameFast Input Technology, HDMI, D-Sub, Stereo Speakers, VESA Wall Mounting",Black,,3 year,China,Taiwan,,"1ms Gaming Monitor, GameFast Input Technology & Free-Sync Console, Full HD gaming monitor with an ultra-fast 1ms response time and GameFast Input Technology for smooth gameplay, Features AMD FreeSync technology to eliminate screen tearing and choppy frame rates, ASUS-exclusive GamePlus hotkey for in-game enhancements while GameVisual for optimized visuals, Flicker free, Display Surface Non-glare, Trace Free Technology, GamePlus (Crosshair/Timer/FPS Counter/Display Alignment modes), Low Blue Light, HDCP support, VividPixel, 6 Modes GameVisual (Scenery/Racing/Cinema/RTS/RPG/FPS/sRGB Modes), FreeSync technology supported, GameFast Input technology","561 x 415 x 211mm (with Stand), 561 x 329 x 50mm (without Stand)",2,16:9,,2W x 2 Stereo RMS,,Yes,,,,20180,18800
54,HP EliteDisplay E243,Regular,23.8,Widescreen,FHD LED,1920x1080 (WxH) FHD,5ms,60Hz,178 degree (H & V),1,250cd/m2,1000:1 (Static) 10000000:1 (Dynamic),"Display Type: IPS w/LED backlight, Input voltage: 100 to 240 VAC, Power Consumption: 38 W (maximum), 21 W (typical), 0.5 W (standby), Weight: 5.59Kg",Black,1FH47AA,3 year,China,USA,1,"Anti-glare, BrightView Panel, In plane switching, Language selection, LED Backlights, On-screen controls, Pivot rotation, Plug and Play, Anti-static, Low Haze, Style meets substance in a strikingly modern business display crafted for optimal viewing, productivity, and ergonomics, Experience simple, convenient connectivity","538.8 x 204.9 x 332.9mm (with Stand), 538.8 x 45.3 x 321.9mm (without Stand)",1,16:9,,,"3 x USB3.0 (1 x upstream, 2 x downstream)",,,,,20620,19300
55,ViewSonic VX2476-smhd,Regular,24,Widescreen,FHD LED,1920x1080 (WxH) FHD,"14ms (Gray to Gray) (typical), 7ms (Gray to Gray) (W/OD)",24Hz - 75Hz,178 degree (H & V),1,250cd/m2,"1,000:1 (typical), 80M:1 (DCR)","PANEL TYPE: IPS, LIGHT SOURCE: LED, COLORS: 16.7M, BACKLIGHT LIFE (HOURS): 30,000, PANEL SURFACE: Anti-glare, Hard coating (3H), 3.5MM AUDIO IN: 1, 3.5MM AUDIO OUT: 1, ECO MODE (CONSERVE): 13W, ECO MODE (OPTIMIZED): 15W, CONSUMPTION (TYPICAL): 18W, CONSUMPTION (MAX): 24W, VOLTAGE: AC 100-240V (universal), 50-60Hz, KENSINGTON LOCK SLOT: 1, WEIGHT: 2.97Kg (With Stand), 2.53Kg (Without Stand)",Black,,3 year,China,USA,1,"Style and substance go hand-in-hand with the ViewSonic Full HD monitor, SuperClear IPS panel technology, wide viewing angles, and best-in-class screen performance deliver outstanding visual clarity great for vibrant entertainment and gaming, A premium ID includes an ultra-slim profile, unique desktop stand, and a sleek edge-to-edge frameless screen, that when combined with vivid 1920x1080 resolution and dual speakers, deliver an immersive viewing experience for home entertainment and multimedia applications, while the modern, flush-mount frameless bezel design makes a standout statement in any home, ULTRA-SLIM PANEL WITH FRAMELESS DESIGN, ULTRA-WIDE VIEWING ANGLES, VERSATILE CONNECTIVITY, FULL HD 1080P RESOLUTION, OPTIMIZED VIEW SETTINGS, ENHANCED VIEWING COMFORT, DUAL INTEGRATED SPEAKERS","540 x 414.1 x 209mm (With Stand), 540 x 323 x 34.1mm (Without Stand)",1,16:9,,3Watt x 1,,,,,,20940,19500
56,ASUS VP247QG,Gaming,23.6,Widescreen,LED,1920x1080 (WxH) FHD,,,"170 degree (H), 160 degree (V)",1,250cd/m2,,"Panel Size: Wide Screen 16:9, Color Saturation : 72%(NTSC), Panel Type : TN, Display Surface: Non-glare, Pixel Pitch : 0.2715mm, ASUS Smart Contrast Ratio (ASCR) : 100000000:1, Display Colors : 16.7M, Trace Free Technology : Yes, SPLENDID Video Preset Modes : 8 Modes, Skin-Tone Selection : 3 Modes, Color Temperature Selection : 4 Modes, QuickFit (modes) : Yes, GamePlus(modes) : Yes, Low Blue Light : Yes, HDCP support : Yes, VividPixel : Yes, Smart View Technology : Yes, Convenient Hotkey: Blue Light Filter, Brightness Adjustment, Input Selection, QuickFit, PC Audio Input : 3.5mm Mini-Jack, VESA Wall Mounting : 100x100mm, Kensington lock",Black,,3 year,,,1,"FHD (1920x1080) 1ms, 75Hz, Flicker Free, Blue Light Filter, Gaming Monitor, 23.6-inch Full HD monitor with 1ms (GTG) quick response time and 75Hz refresh rate for fast and smooth gaming, ASUS-exclusive GamePlus with crosshair, timer, FPS counter, display alignment functions for in-game enhancements, Extensive connectivity including DisplayPort, HDMI and D-sub ports. Plus 1.5-Watt stereo speakers, Features Adaptive-Sync/FreeSync technology to eliminate screen tearing and choppy frame rates, ASUS Eye Care monitors feature TUV Rheinland-certified Flicker-free and Low Blue Light technologies to ensure a comfortable viewing experience, SPLENDID Video Preset Modes (sRGB Mode/Scenery Mode/Theater Mode/Standard Mode/Night View Mode/Game Mode/Reading Mode/Darkroom Mode), QuickFit (Letter/A4/B5/Alignment Grid/Photo Modes), GamePlus (Crosshair/Timer/FPS Counter/Display Alignment)",,1,,,1.5W x 2 Stereo,,,,,,21160,19700
57,DELL U2412M,Regular,24,Widescreen,UltraSharp LED,1920x1200 (WxH) WUXGA,8ms (Gray to Gray),60Hz,178 degree (H & V),1,300cd/m2,"1000:1 (Typical), 2000000:1 (dynamic)","1 USB 2.0 upstream port, 4 USB 2.0 downstream ports",Black,U2412M,3 year,China,USA,,,"513.5 x 556.0 x 180.3mm (with stand), 361.6 x 556.0 x 64.9mm (without stand)",,,1,,"1 x USB 2.0 (Upstream), 4 x USB 2.0 (downstream)",,,,,21160,20000
58,Benq GW2480T,Regular,24,Widescreen,FHD LED,1920x1080 (WxH) FHD,5ms,,,1,250cd/m2,"1,000:1 (typical), 20,000,000:1 (DCR)","Panel Type: IPS, Backlight Technology: LED backlight, Display Colors: 16.7 Mil., Color Gamut: 72% NTSC, Display Area(mm): 527.04 x 296.46mm, PPI: 93, Color Bit: 8 bits, Headphone Jack: Yes, Audio Line In: Yes, HDCP: 1.4, VESA Wall Mount: 100 x 100mm, AMA: Yes, Flicker-free Technology: Yes, Low Blue Light: Yes, Brightness Intelligence (B.I.): Yes, Power Voltage Rating: 100 - 240V, Power Consumption (on mode.): 27W, OS Supported: Windows 7, 8, 8.1, 10, Weight: 5.7Kg",Black,,3 year,China,Taiwan,1,"Eye-Care Monitor, 24-inch for proper viewing distance, Ergonomics for better seating position, Eye-care technology for eye comfort, Reduce Blue Light Exposure for Better Sleep Quality, Flicker-Free Makes for Better Viewing Comfort, Easily Connect to Laptops for Better Viewing Comfort, Built-in Speaker, Flicker-free Technology, Low Blue Light, Brightness Intelligence (B.I.)","528 x 540 x 230mm (Highest), 428 x 540 x 230mm (Lowest)",1,16:9,,1Watt x 2,,,,,,21380,20000
59,ASUS BE249QLB,Regular,23.8,Widescreen,FHD IPS,1920x1080 (WxH) FHD,5ms (Gray to Gray),49 - 76Hz,178 degree (H & V),1,250cd/m2,1000:1,"Panel Size: Wide Screen 16:9, Panel Type : IPS, Full HD 1080P : Yes, Display Surface: Non-glare, Pixel Pitch : 0.2745mm, ASUS Smart Contrast Ratio (ASCR) : 100000000:1, Display Colors : 16.7M, Trace Free Technology : Yes, SPLENDID Video Preset Modes : 7 Modes, Skin-Tone Selection : 3 Modes, Color Temperature Selection : 4 Modes, QuickFit (modes) : Yes ( Modes), Low Blue Light : Yes, HDCP support : Yes, PC Audio Input : 3.5mm Mini-Jack, Earphone jack : 3.5mm Mini-Jack, VESA Wall Mounting : 100x100mm, Quick Release Stand Design : Yes",Black,,3 year,,,,"IPS, Flicker free, Low Blue Light, Business Series Monitor, Mini-PC Mount Kit, Ergonomic Stand, In-plane Switching panel with wide viewing angles and LED backlight for quality visuals, Extensive connectivity with DisplayPort, DVI-D, D-sub, Audio in, Earphone jack plus USB 2.0 ports for the most flexibility, Advanced eye care feature with Low Blue Light & Flicker Free Technology, Ergonomic design with tilt, swivel, pivot and height adjustments for a comfortable viewing experience, Built-in 2W stereo speakers for multimedia usage, Convenient key controls for functional set-up in the multi-language OSD, Easily detachable base for wall mount, KENSINGTON Security Lock",,,,1,2W x 2 Stereo RMS,2 x USB2.0,,,,,25300,22000
